learner,frac,qini
S-learner,0.4295752654590881,219.4059985369422
S-learner,0.43285446595877575,224.48695652173916
S-learner,0.43613366645846346,224.11853448275866
S-learner,0.4394128669581512,228.50749464668093
S-learner,0.44269206745783884,228.6739978715857
S-learner,0.44597126795752656,229.2325581395349
S-learner,0.4492504684572142,232.6029411764706
S-learner,0.45252966895690194,231.85744016649323
S-learner,0.4558088694565896,234.42660234321158
S-learner,0.4590880699562773,235.87179487179486
S-learner,0.46236727045596504,239.3012211668928
S-learner,0.4656464709556527,237.0471698113207
S-learner,0.4689256714553404,238.6985294117647
S-learner,0.4722048719550281,238.69996681048787
S-learner,0.4754840724547158,241.95065789473682
S-learner,0.4787632729544035,243.94805619078733
S-learner,0.4820424734540912,245.52272727272725
S-learner,0.4853216739537789,247.26978998384487
S-learner,0.48860087445346656,243.61805332476706
S-learner,0.4918800749531543,242.98275311402108
S-learner,0.495159275452842,243.9733502538071
S-learner,0.49843847595252966,247.28436018957348
S-learner,0.5017176764522173,249.07472527472532
S-learner,0.5049968769519051,247.5955056179775
S-learner,0.5082760774515928,243.52558139534887
S-learner,0.5115552779512804,245.87696577243292
S-learner,0.5148344784509682,247.55371900826447
S-learner,0.5181136789506559,248.9278538812785
S-learner,0.5213928794503435,251.38391777509065
S-learner,0.5246720799500312,251.17307692307696
S-learner,0.527951280449719,249.64452423698384
S-learner,0.5312304809494066,254.3753351206434
S-learner,0.5345096814490943,255.247191011236
S-learner,0.537788881948782,258.70748898678414
S-learner,0.5410680824484697,259.4978102189781
S-learner,0.5443472829481574,259.88863109048725
S-learner,0.5476264834478451,262.199076745528
S-learner,0.5509056839475328,262.92760700948
S-learner,0.5541848844472205,261.2826521863389
S-learner,0.5574640849469081,262.1838819523269
S-learner,0.5607432854465959,260.92099322799095
S-learner,0.5640224859462836,262.8404494382023
S-learner,0.5673016864459712,264.93418851087563
S-learner,0.570580886945659,261.42524271844667
S-learner,0.5738600874453467,260.11878453038673
S-learner,0.5771392879450343,258.2866556836903
S-learner,0.5804184884447221,258.2653562653563
S-learner,0.5836976889444098,257.1540130151844
S-learner,0.5869768894440974,255.94174757281553
S-learner,0.5902560899437851,251.4529111886236
S-learner,0.5935352904434729,252.04858515750135
S-learner,0.5968144909431605,247.6068965517241
S-learner,0.6000936914428482,248.280442804428
S-learner,0.603372891942536,249.50943396226415
S-learner,0.6066520924422236,247.60422645447431
